"date_A","open_A","prediction"
1691020800000,191.57000732421875,191.66741065221322
1691107200000,185.52000427246094,186.15829520308654
1691366400000,182.1300048828125,180.9554340699452
1691452800000,179.69000244140625,178.29351097999353
1691539200000,180.8699951171875,179.35823528245572
1691625600000,179.47999572753906,179.85168018976987
1691712000000,177.32000732421875,177.40093250147157
1691971200000,177.97000122070312,177.8301122078869
1692057600000,178.8800048828125,178.71801545334637
1692144000000,177.1300048828125,178.0691988806201
1692230400000,177.13999938964844,176.34223898488608
1692316800000,172.3000030517578,172.8523507730266
1692576000000,175.07000732421875,174.30994649857016
1692662400000,177.05999755859375,176.76297930022395
1692748800000,178.52000427246094,179.10376455561084
1692835200000,180.6699981689453,179.8007411281796
1692921600000,177.3800048828125,176.68882952776988
1693180800000,180.08999633789062,179.12013783458147
1693267200000,179.6999969482422,180.83595291719857
1693353600000,184.94000244140625,185.32887238337847
1693440000000,187.83999633789062,188.49273644813388
1693526400000,189.49000549316406,188.7944363552833
1693872000000,188.27999877929688,188.12802702552514
1693958400000,188.39999389648438,186.37042559399927
1694044800000,175.17999267578125,174.68036210989322
1694131200000,178.35000610351562,179.47185666928127
1694390400000,180.07000732421875,178.39678914358086
1694476800000,179.49000549316406,178.0761667442408
1694563200000,176.50999450683594,176.4577309119468
1694649600000,174,174.2112592896534
1694736000000,176.47999572753906,175.1776757234833
1694995200000,176.47999572753906,177.56505646508336
1695081600000,177.52000427246094,177.8762397345042
1695168000000,179.25999450683594,178.74408851047042
1695254400000,174.5500030517578,175.7492620582719
1695340800000,174.6699981689453,175.9829861564228
1695600000000,174.1999969482422,175.16636037125076
1695686400000,174.82000732421875,174.27997040470945
1695772800000,172.6199951171875,171.34974100788114
1695859200000,169.33999633789062,169.1896452200878
1695945600000,172.02000427246094,171.9662202962907
